Date : 2022-04-24 20:44:51
Directory : c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend
Total : 142 files,  36589 codes, 25 comments, 696 blanks, all 37310 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\pages\tracking\dashboard\components                                                                                                     |          5 |         83 |          0 |         10 |         93 |
| src\pages\tracking\dashboard\components\AsignedTasks                                                                                        |          2 |         60 |          0 |          7 |         67 |
| src\pages\tracking\dashboard\components\AsignedTasks\components                                                                             |          1 |         35 |          0 |          5 |         40 |
| src\pages\tracking\dashboard\components\Statistics                                                                                          |          3 |         23 |          0 |          3 |         26 |
| src\pages\tracking\dashboard\components\Statistics\components                                                                               |          2 |         16 |          0 |          2 |         18 |
| src\pages\tracking\project                                                                                                                  |         22 |      1,164 |          0 |        113 |      1,277 |
| src\pages\tracking\project\components                                                                                                       |         21 |      1,070 |          0 |        103 |      1,173 |
| src\pages\tracking\project\components\statistics                                                                                            |          3 |        218 |          0 |         14 |        232 |
| src\pages\tracking\project\components\statistics\components                                                                                 |          2 |        187 |          0 |         11 |        198 |
| src\pages\tracking\project\components\tasks                                                                                                 |          5 |        226 |          0 |         22 |        248 |
| src\pages\tracking\timer                                                                                                                    |          5 |        300 |          3 |         32 |        335 |
| src\pages\tracking\timer\components                                                                                                         |          2 |        111 |          0 |         14 |        125 |
| src\pages\user                                                                                                                              |          6 |        233 |          0 |         30 |        263 |
| src\pages\user\profile                                                                                                                      |          1 |         41 |          0 |          3 |         44 |
| src\pages\user\remind-password                                                                                                              |          2 |         88 |          0 |          8 |         96 |
| src\pages\user\remind-password\components                                                                                                   |          1 |         76 |          0 |          6 |         82 |
| src\pages\user\reset-password                                                                                                               |          1 |         41 |          0 |          8 |         49 |
| src\pages\user\verify-email                                                                                                                 |          1 |         40 |          0 |          7 |         47 |
| src\routes                                                                                                                                  |          4 |        189 |          0 |         20 |        209 |
| src\services                                                                                                                                |          6 |        244 |          3 |         50 |        297 |
| src\store                                                                                                                                   |         20 |        599 |          0 |        108 |        707 |
| src\store\modals                                                                                                                            |          2 |         68 |          0 |          6 |         74 |
| src\store\projects                                                                                                                          |          4 |         72 |          0 |         14 |         86 |
| src\store\tasks                                                                                                                             |          4 |        114 |          0 |         17 |        131 |
| src\store\types                                                                                                                             |          4 |        196 |          0 |         45 |        241 |
| src\store\users                                                                                                                             |          4 |        103 |          0 |         19 |        122 |
| src\types                                                                                                                                   |          1 |        107 |          5 |          9 |        121 |
| src\utils                                                                                                                                   |          4 |        115 |          5 |         26 |        146 |
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                    | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\README.md                                                                     | Markdown           |         26 |          0 |         21 |         47 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\package-lock.json                                                             | JSON               |     30,524 |          0 |          1 |     30,525 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\package.json                                                                  | JSON               |         79 |          0 |          1 |         80 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\public\index.html                                                             | HTML               |         20 |          0 |          1 |         21 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\public\manifest.json                                                          | JSON               |         25 |          0 |          1 |         26 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\App.tsx                                                                   | TypeScript React   |         45 |          0 |          5 |         50 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\LayoutPrivate.tsx                                                 | TypeScript React   |         16 |          0 |          2 |         18 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\LayoutPublic.tsx                                                  | TypeScript React   |          9 |          0 |          2 |         11 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\navigations\Header.tsx                                            | TypeScript React   |         59 |          0 |          3 |         62 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\navigations\SideBar.tsx                                           | TypeScript React   |        121 |          0 |         10 |        131 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\assets\icons\time_management.svg                                          | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\containers\PageContainer.tsx                                   | TypeScript React   |          9 |          0 |          3 |         12 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\forms\EmailSendForm.tsx                                        | TypeScript React   |         23 |          0 |          3 |         26 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\forms\LoginForm.tsx                                            | TypeScript React   |         88 |          0 |          6 |         94 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\forms\NotificationsForm.tsx                                    | TypeScript React   |         70 |          0 |          3 |         73 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\forms\PasswordResetForm.tsx                                    | TypeScript React   |        101 |          0 |          8 |        109 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\forms\ProfileForm.tsx                                          | TypeScript React   |         84 |          0 |          4 |         88 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\forms\RegisterForm.tsx                                         | TypeScript React   |         85 |          0 |          4 |         89 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\Checkbox.tsx                                            | TypeScript React   |         37 |          0 |          5 |         42 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\DateInput.tsx                                           | TypeScript React   |         67 |          0 |          4 |         71 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\EmailInput.tsx                                          | TypeScript React   |         48 |          0 |          6 |         54 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\InputUtil.tsx                                           | TypeScript React   |         77 |          0 |          4 |         81 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\MultiSelect.tsx                                         | TypeScript React   |         59 |          0 |          5 |         64 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\Select.tsx                                              | TypeScript React   |         58 |          0 |          5 |         63 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\TimeInput.tsx                                           | TypeScript React   |         64 |          0 |          4 |         68 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\others\CustomTable.tsx                                         | TypeScript React   |        106 |          0 |          8 |        114 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\others\Loader.tsx                                              | TypeScript React   |         46 |          0 |          6 |         52 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\others\Toast.tsx                                               | TypeScript React   |         12 |          0 |          3 |         15 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\timer\TaskTimer.tsx                                            | TypeScript React   |         53 |          0 |          8 |         61 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\tracking\modals\DialogWithClose.tsx                            | TypeScript React   |         28 |          0 |          4 |         32 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\tracking\modals\EditTaskModal.tsx                              | TypeScript React   |         70 |          0 |          7 |         77 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\tracking\modals\EditTimesModal.tsx                             | TypeScript React   |         94 |          0 |          6 |        100 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\tracking\modals\EditUserModal.tsx                              | TypeScript React   |         21 |          0 |          3 |         24 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\tracking\modals\ImportTaskModal.tsx                            | TypeScript React   |         84 |          3 |         11 |         98 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\userInsights\lastMonths\WorkingStatistics.tsx                  | TypeScript React   |         45 |          1 |          4 |         50 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\userInsights\topProjects\TopProjects.tsx                       | TypeScript React   |         62 |          0 |          5 |         67 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\api.ts                                                          | TypeScript         |         44 |          0 |          5 |         49 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\other.ts                                                        | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\routes.ts                                                       | TypeScript         |         16 |          0 |          2 |         18 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\tokenStorage.ts                                                 | TypeScript         |         12 |          0 |          5 |         17 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\hooks\use-admin.ts                                                        | TypeScript         |          8 |          0 |          1 |          9 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\hooks\use-stopwatch.ts                                                    | TypeScript         |         18 |          0 |          2 |         20 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\index.css                                                                 | CSS                |          8 |          0 |          2 |         10 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\index.tsx                                                                 | TypeScript React   |         22 |          0 |          5 |         27 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\Reports.tsx                                                 | TypeScript React   |         19 |          0 |          3 |         22 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\components\SelectReport.tsx                                 | TypeScript React   |         29 |          0 |          4 |         33 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\components\pages\systemReport\SystemReport.tsx              | TypeScript React   |         11 |          0 |          2 |         13 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\components\pages\timerReport\TimerReport.tsx                | TypeScript React   |         41 |          0 |          2 |         43 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\components\pages\timerReport\components\Filters.tsx         | TypeScript React   |         90 |          0 |          5 |         95 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\Tasks.tsx                                                     | TypeScript React   |         86 |          1 |          4 |         91 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\components\Assignee.tsx                                       | TypeScript React   |         59 |          1 |          9 |         69 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\components\Filters.tsx                                        | TypeScript React   |         86 |          0 |         13 |         99 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\components\TaskName.tsx                                       | TypeScript React   |         16 |          0 |          3 |         19 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\components\TaskStatus.tsx                                     | TypeScript React   |         39 |          0 |          5 |         44 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\components\new-task\CreateNewTaskModal.tsx                    | TypeScript React   |         16 |          0 |          2 |         18 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\components\new-task\NewTaskForm.tsx                           | TypeScript React   |        115 |          0 |          8 |        123 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\Team.tsx                                                       | TypeScript React   |         91 |          0 |          8 |         99 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\AddNewEmployee.tsx                                  | TypeScript React   |         21 |          0 |          2 |         23 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\AddNewEmployeeForm.tsx                              | TypeScript React   |         74 |          0 |          6 |         80 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\RemoveEmployee.tsx                                  | TypeScript React   |         33 |          0 |          4 |         37 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\TeamMemberName.tsx                                  | TypeScript React   |         10 |          0 |          2 |         12 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\TeamMemberRole.tsx                                  | TypeScript React   |         16 |          0 |          4 |         20 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\dashboard\Dashboard.tsx                             | TypeScript React   |         24 |          0 |          3 |         27 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\dashboard\widgets\Realtime.tsx                      | TypeScript React   |         20 |          0 |          2 |         22 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\dashboard\widgets\RealtimeUser.tsx                  | TypeScript React   |         54 |          0 |          4 |         58 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\teamInsigths\TeamMemberInsight.tsx                  | TypeScript React   |          4 |          1 |          0 |          5 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\Dashboard.tsx                                    | TypeScript React   |         27 |          0 |          2 |         29 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\AsignedTasks\AsignedTasks.tsx         | TypeScript React   |         25 |          0 |          2 |         27 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\AsignedTasks\components\TasksList.tsx | TypeScript React   |         35 |          0 |          5 |         40 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\Statistics\components\BasicInfo.tsx   | TypeScript React   |         14 |          0 |          1 |         15 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\Statistics\components\TimeInfo.tsx    | TypeScript React   |          2 |          0 |          1 |          3 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\Statistics\index.tsx                  | TypeScript React   |          7 |          0 |          1 |          8 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\Projects.tsx                                       | TypeScript React   |         94 |          0 |         10 |        104 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\AddUsersToProjectForm.tsx               | TypeScript React   |        106 |          0 |          9 |        115 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\AddUsersToProjectModal.tsx              | TypeScript React   |         21 |          0 |          2 |         23 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\CreateProjectForm.tsx                   | TypeScript React   |         83 |          0 |          6 |         89 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\CreateProjectModal.tsx                  | TypeScript React   |         20 |          0 |          2 |         22 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\InvitedUsers.tsx                        | TypeScript React   |          6 |          0 |          3 |          9 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\InvitedUsersTable.tsx                   | TypeScript React   |        107 |          0 |         10 |        117 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\Project.tsx                             | TypeScript React   |         62 |          0 |          7 |         69 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectAccess.tsx                       | TypeScript React   |         63 |          0 |          5 |         68 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectFilters.tsx                      | TypeScript React   |         68 |          0 |          7 |         75 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectMenu.tsx                         | TypeScript React   |         33 |          0 |          5 |         38 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectName.tsx                         | TypeScript React   |         20 |          0 |          3 |         23 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectTabs.tsx                         | TypeScript React   |         28 |          0 |          6 |         34 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\TotalTacked.tsx                         | TypeScript React   |          9 |          0 |          2 |         11 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\statistics\ProjectStatistics.tsx        | TypeScript React   |         31 |          0 |          3 |         34 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\statistics\components\ProjectWidget.tsx | TypeScript React   |         69 |          0 |          4 |         73 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\statistics\components\UsersPieChart.tsx | TypeScript React   |        118 |          0 |          7 |        125 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\CreateTaskForm.tsx                | TypeScript React   |         78 |          0 |          6 |         84 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\CreateTaskModal.tsx               | TypeScript React   |         34 |          0 |          2 |         36 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\TaskTime.tsx                      | TypeScript React   |         16 |          0 |          4 |         20 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\Tasks.tsx                         | TypeScript React   |         35 |          0 |          4 |         39 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\TasksTable.tsx                    | TypeScript React   |         63 |          0 |          6 |         69 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\Statistics.tsx                                       | TypeScript React   |         38 |          0 |          4 |         42 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\StopWatch.tsx                                        | TypeScript React   |         22 |          0 |          2 |         24 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\Timer.tsx                                            | TypeScript React   |        129 |          3 |         12 |        144 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\components\AccordionItem.tsx                         | TypeScript React   |         30 |          0 |          2 |         32 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\components\DayEntry.tsx                              | TypeScript React   |         81 |          0 |         12 |         93 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\user\Login.tsx                                                      | TypeScript React   |         23 |          0 |          4 |         27 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\user\profile\Profile.tsx                                            | TypeScript React   |         41 |          0 |          3 |         44 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\user\remind-password\RemindPassword.tsx                             | TypeScript React   |         12 |          0 |          2 |         14 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\user\remind-password\components\RemindPasswordForm.tsx              | TypeScript React   |         76 |          0 |          6 |         82 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\user\reset-password\ResetPassword.tsx                               | TypeScript React   |         41 |          0 |          8 |         49 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\user\verify-email\MailVerification.tsx                              | TypeScript React   |         40 |          0 |          7 |         47 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\react-app-env.d.ts                                                        | TypeScript         |          0 |          2 |          1 |          3 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\routes\AdminRoute.tsx                                                     | TypeScript React   |         37 |          0 |          7 |         44 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\routes\MainRouter.tsx                                                     | TypeScript React   |        110 |          0 |          5 |        115 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\routes\PrivateRoute.tsx                                                   | TypeScript React   |         33 |          0 |          6 |         39 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\routes\PublicRoute.tsx                                                    | TypeScript React   |          9 |          0 |          2 |         11 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\admin.service.ts                                                 | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\auth.service.ts                                                  | TypeScript         |         45 |          0 |         14 |         59 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\middleware.ts                                                    | TypeScript         |         35 |          2 |          5 |         42 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\notification.service.ts                                          | TypeScript         |         37 |          1 |          4 |         42 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\sse.service.ts                                                   | TypeScript         |         22 |          0 |          3 |         25 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\tracking.service.ts                                              | TypeScript         |         91 |          0 |         20 |        111 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\modals\modalSlice.ts                                                | TypeScript         |         13 |          0 |          3 |         16 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\modals\reducer.ts                                                   | TypeScript         |         55 |          0 |          3 |         58 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\projects\actions.ts                                                 | TypeScript         |         36 |          0 |          6 |         42 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\projects\projectsSlice.ts                                           | TypeScript         |         10 |          0 |          2 |         12 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\projects\reducer.ts                                                 | TypeScript         |         13 |          0 |          3 |         16 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\projects\types.ts                                                   | TypeScript         |         13 |          0 |          3 |         16 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\selectors.ts                                                        | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\store.ts                                                            | TypeScript         |         43 |          0 |          6 |         49 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\tasks\actions.ts                                                    | TypeScript         |         76 |          0 |         10 |         86 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\tasks\reducer.ts                                                    | TypeScript         |         27 |          0 |          5 |         32 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\tasks\taskSlice.ts                                                  | TypeScript         |         10 |          0 |          2 |         12 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\tasks\types.ts                                                      | TypeScript         |          1 |          0 |          0 |          1 |
| c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\types\Modal.ts                                                      | TypeScript         |         28 |          0 |          1 |         29 |
